Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20
,Afghanistan,33.0,65.0,1,0,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
,Albania,41.1533,20.1683,2,2,1,1,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,5
,Algeria,28.0339,1.6596,5,5,6,5,5,6,8,6,3,4,2,4,3,3,5,5,6,5,2,8,6,4,2,2,2,4,5,5,5,4,5,5,6,7,5,3,6,6,5,6,7,4,3,2,4,6,7,6,6,6,6,6,7,8,6,4,3,4,5,4,3,3,4,3,2,3,8,6,5,5,7,8,4,4,4,6,2,5,6,5,3,4,6,7,6,3
,Andorra,42.5063,1.5218,1,0,1,2,2,1,2,1,1,2,2,1,0,1,1,1,1,1,4,3,2,1,1,0,1,0,0,0,1,1,1,1,1,1,3,2,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,3,1,3,2,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1
,Angola,-11.2027,17.8739,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
,Antigua and Barbuda,17.0608,-61.7964,3,3,5,6,6,6,5,6,7,9,11,11,11,11,10,9,7,6,7,8,7,7,6,5,3,2,2,3,3,2,4,4,5,5,4,6,7,8,9,9,8,8,8,8,9,8,8,8,8,9,9,8,6,3,2,3,5,6,4,5,5,5,6,7,6,6,6,7,5,7,8,6,6,6,3,3,2,3,6,7,8,8,8,8,7,5
,Argentina,-38.4161,-63.6167,5,4,4,5,6,4,5,5,3,5,4,4,4,6,6,6,3,5,3,4,6,4,2,6,3,4,6,4,6,3,4,4,5,4,5,4,5,5,4,5,3,3,5,8,3,4,4,3,5,3,6,4,3,3,6,7,4,4,4,4,2,3,7,5,4,4,3,4,4,5,5,5,4,4,4,2,5,5,3,4,3,4,3,7,3,5
,Armenia,40.0691,45.0382,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,3,2,3,4,3,1,3,1,2,2,2,1,1,2,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2
Australian Capital Territory,Australia,-35.4735,149.0124,1,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,4,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,4,5,2,1,2,1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,1,1,0,1,2
New South Wales,Australia,-33.8688,151.2093,5,4,4,4,7,3,3,5,4,4,7,5,3,3,2,2,6,5,2,2,2,3,5,3,3,3,4,3,4,3,4,4,4,4,6,3,4,6,7,12,4,3,3,3,3,2,3,1,3,4,4,2,3,3,3,3,4,4,4,3,3,4,4,4,6,4,5,4,3,2,2,2,3,7,6,5,3,2,2,3,3,3,5,3,4,6
